t            Tb_tes       
2.195200e+01 -4.480016e-02 
2.198400e+01 -4.894760e-02 
2.201600e+01 -5.342246e-02 
2.204800e+01 -5.282218e-02 
2.208000e+01 -4.469102e-02 
2.211200e+01 -4.840188e-02 
2.214400e+01 -5.042103e-02 
2.217600e+01 -4.851103e-02 
2.220800e+01 -4.321759e-02 
2.224000e+01 -5.107589e-02 
2.227200e+01 -4.894760e-02 
2.230400e+01 -4.228987e-02 
2.233600e+01 -5.145789e-02 
2.236800e+01 -4.310844e-02 
2.240000e+01 -5.244017e-02 
2.243200e+01 -4.856560e-02 
2.246400e+01 -4.245359e-02 
2.249600e+01 -5.042103e-02 
2.252800e+01 -4.158044e-02 
2.256000e+01 -4.365416e-02 
2.259200e+01 -4.245359e-02 
2.262400e+01 -3.557758e-02 
2.265600e+01 -5.063931e-02 
2.268800e+01 -4.725588e-02 
2.272000e+01 -5.151246e-02 
2.275200e+01 -4.289016e-02 
2.278400e+01 -4.589159e-02 
2.281600e+01 -4.769245e-02 
2.284800e+01 -4.681931e-02 
2.288000e+01 -5.244017e-02 
2.291200e+01 -4.736502e-02 
2.294400e+01 -4.812902e-02 
2.297600e+01 -4.998446e-02 
2.300800e+01 -4.070730e-02 
2.304000e+01 -3.857901e-02 
2.307200e+01 -5.265846e-02 
2.310400e+01 -4.616445e-02 
2.313600e+01 -4.883845e-02 
2.316800e+01 -4.239901e-02 
2.320000e+01 -4.518216e-02 
2.323200e+01 -5.129417e-02 
2.326400e+01 -4.971160e-02 
2.329600e+01 -5.151246e-02 
2.332800e+01 -4.272644e-02 
2.336000e+01 -4.250816e-02 
2.339200e+01 -4.785617e-02 
2.342400e+01 -4.163501e-02 
2.345600e+01 -4.349045e-02 
2.348800e+01 -5.331332e-02 
2.352000e+01 -4.932960e-02 
2.355200e+01 -4.818360e-02 
2.358400e+01 -4.932960e-02 
2.361600e+01 -4.338130e-02 
2.364800e+01 -4.965703e-02 
2.368000e+01 -4.381787e-02 
2.371200e+01 -5.063931e-02 
2.374400e+01 -4.867474e-02 
2.377600e+01 -4.223530e-02 
2.380800e+01 -4.081644e-02 
2.384000e+01 -3.956130e-02 
2.387200e+01 -5.102131e-02 
2.390400e+01 -3.988873e-02 
2.393600e+01 -5.189446e-02 
2.396800e+01 -4.856560e-02 
2.400000e+01 -5.314960e-02 
2.403200e+01 -4.436359e-02 
2.406400e+01 -5.216732e-02 
2.409600e+01 -4.392702e-02 
2.412800e+01 -4.796531e-02 
2.416000e+01 -5.183989e-02 
2.419200e+01 -4.698302e-02 
2.422400e+01 -4.572788e-02 
2.425600e+01 -4.305387e-02 
2.428800e+01 -4.812902e-02 
2.432000e+01 -4.163501e-02 
2.435200e+01 -4.027073e-02 
2.438400e+01 -5.227646e-02 
2.441600e+01 -4.823817e-02 
2.444800e+01 -4.812902e-02 
2.448000e+01 -4.163501e-02 
2.451200e+01 -5.325875e-02 
2.454400e+01 -5.069389e-02 
2.457600e+01 -4.883845e-02 
2.460800e+01 -4.218073e-02 
2.464000e+01 -4.365416e-02 
2.467200e+01 -4.856560e-02 
2.470400e+01 -4.430902e-02 
